id,input_text,target_language,human_translated_text
399,मैं विद्यालय में पढ़ता हूँ।,en,I study in school.
400,वह बाग में सैर करता है।,en,He strolls in the garden.
401,यह भोजनालय में खाती है।,en,She eats in the restaurant.
402,मीना और शालु बाज़ार में घूमते हैं।,en,Meena and Shalu roam in the market.
403,आप होटल में सोते हैं।,en,You sleep in a hotel.
404,तुम सिनेमा घर में फ़िल्म देखते हो।,en,You watch a movie in a movie theater.
405,ये मंदिर में पूजा करते हैं।,en,They worship in the temple.
406,मैं घर में रहती हूँ।,en,I live in a house.
407,मैं विद्यालय में पढ़ता हूँ।,en,I study in school.
408,वह बाग में सैर करता है।,en,He strolls in the garden.
409,यह भोजनालय में खाती है।,en,She eats in the restaurant.
410,मीना और शालु बाज़ार में घूमते हैं।,en,Meena and Shalu roam in the market.
411,आप होटल में सोते हैं।,en,You sleep in a hotel.
412,तुम सिनेमा घर में फ़िल्म देखते हो।,en,You watch a movie in a movie theater.
413,ये मंदिर में पूजा करते हैं।,en,They worship in the temple.
414,मैं घर में रहती हूँ।,en,I live in a house.
415,वे समुद्र तट पर घूमते हैं।,en,They roam at the beach.
416,मैं रेलवे स्टेशन पर हूँ।,en,I am at the railway station.
417,वह बस स्टैंड पर इंतज़ार करता है।,en,He waits at the bus stop.
418,मैं घर पर हूँ।,en,I am at home.
419,मैं समय पर दफ़्तर जाता हूँ।,en,I go to the office on time.
420,मैं काम पर जाता हूँ।,en,I go to work.
421,आप कहाँ से हैं?,en,Where are you from?
422,मैं अमरीका से हूँ।,en,I am from America.
423,वह स्वीडन से है।,en,He/She is from Sweden.
424,आपका दोस्त मिस्र से है।,en,Your friend is from Egypt.
425,मेरी नानी भारत से है।,en,My grandma is from India.
426,वह दिसंबर तक दिल्ली में रहता है।,en,He stays in Delhi till December.
427,क्या आप शुक्रवार तक काम करते हैं?,en,Do you work till Friday?
428,यह रास्ता कहाँ तक जाता है?,en,How far does this route go?
429,यह रास्ता संग्रहालय तक जाता है।,en,This route goes till the museum.
430,वह सुबह तक सोता है।,en,He sleeps until the morning.
431,शाम तक हम घर नहीं आते।,en,We don’t come home till the evening.
432,वे आधी रात तक फ़िल्म देखते हैं।,en,They watch films until midnight.
433,अमित का भाई,en,Amit’s brother
434,वसुधा की बहन,en,Vasudha’s sister
435,आपकी किताब किस रंग की है?,en,What color is your book?
436,मेरी किताब नीली है।,en,My book is blue.
437,मीरा का घर किस रंग का है?,en,What color is Mira’s house?
438,मीरा का घर पीला है।,en,Mira’s house is yellow.
439,घास किस रंग की होती है?,en,What color is grass?
440,घास हरी होती है।,en,Grass is green.
441,वह भूरा सोफ़ा किसका है?,en,Whose brown sofa is that?
442,वह भूरा सोफ़ा मेरा है।,en,That brown sofa is mine.
443,वे रंग-बिरंगे फूल किसके हैं?,en,Whose colorful flowers are those?
444,वे रंग-बिरंगे फूल कुलदीप के हैं।,en,Those colorful flowers are Kuldeep’s.
445,ये सफ़ेद किताबें किसकी हैं?,en,Whose white books are these?
446,ये सफ़ेद किताबें रवीना की हैं।,en,These white books are Raveena’s.
447,कुंग फू पांडा मोटा और बड़ा है।,en,Kung Fu Panda is fat and big.
448,आपकी कुर्सी छोटी है।,en,Your chair is small.
449,यह रास्ता सीधा सिनेमा घर जाता है।,en,This way goes straight to the movie theater.
450,"उसका कमरा साफ़ है, पर रीना का कमरा गंदा है।",en,"His room is clean, but Reena’s is dirty."
451,"वह आदमी मूर्ख नहीं, चालाक है।",en,"That man is not stupid, he is clever."
452,क्या यह चीज़ असली है या नकली?,en,Is this thing real or fake?
453,मद्रास में आज मौसम कैसा है?,en,How is the weather in Madras today?
454,गर्म है।,en,It is hot.
455,आपकी माताजी कैसी हैं?,en,How is your mother?
456,वे ठीक हैं।,en,She is fine.
457,आप कैसे हैं?,en,How are you?
458,मैं अच्छा हूँ।,en,I am well.
459,सुनील रमन से चालाक है।,en,Sunil is cleverer than Raman.
460,सुनील रमन से ज़्यादा ईमानदार है।,en,Sunil is more honest than Raman.
461,वह आम आदमी से कम ताकतवर है।,en,He is less powerful than an ordinary man.
462,राम श्याम से थोड़ा पतला है।,en,Ram is a little slimmer than Shyam.
463,क्या वह सबसे तेज़ है?,en,Is he the fastest?
464,मेरा कमरा सबसे साफ़ है।,en,My room is the cleanest.
465,यह बेहतर है।,en,This is better.
466,उनका घर काफ़ी अच्छा है।,en,Their house is quite nice.
467,वह मुझसे लंबा है।,en,He is taller than me.
468,तुम उससे ज़्यादा ईमानदार हो।,en,You are more honest than him.
469,फूल इस फूलदान में डालते हैं।,en,Flowers are put in this vase.
470,क्या वे लोग इनसे ज़्यादा अच्छे हैं?,en,Are those people better than these?
471,यह औरत उस औरत से कम चुस्त है।,en,This woman is less active than that woman.
472,क्या आपको दिल्ली पसंद है?,en,Do you like Delhi?
473,राकेश को यह लड़की पसंद नहीं।,en,Rakesh doesn’t like this girl.
474,तुझे बाग में सैर करना पसंद है।,en,You like to stroll in the garden.
475,उसे हमारा काम अच्छा लगता है।,en,He/She likes our work.
476,इस लड़की को राकेश अच्छा नहीं लगता।,en,This girl doesn’t like Rakesh.
477,तुम्हें गाड़ी चलाना अच्छा लगता है?,en,Do you like to drive?
478,मैं गौरव को चाहती हूँ।,en,I like Gaurav.
479,वह समोसा खाना चाहता है।,en,He wants to eat a samosa.
480,मैं बाज़ार जाना नहीं चाहती।,en,I don’t want to go to the market.
481,मुझे नई गाड़ी चाहिए।,en,I need a new car.
482,इसे घर आना चाहिए।,en,He/She should come home.
483,इन्हें रविवार को काम नहीं करना चाहिए।,en,They should not work on Sunday.
484,मुझे भूख लगी है।,en,I am hungry.
485,मुझे प्यास लगी है।,en,I am thirsty.
486,मुझे दही खट्टा लगता है।,en,I find yogurt sour.
487,मुझे करेला कड़वा लगता है।,en,I find bitter gourd bitter.
488,मुझे केला मीठा लगता है।,en,I find banana sweet.
489,मुझे आम पापड़ खट्टा-मीठा लगता है।,en,I find mango wafer sweet and sour.
490,मुझे समोसा नमकीन लगता है।,en,I find puff pastry salty.
491,मुझे फल ताज़ा लगता है।,en,I find fruit fresh.
492,मुझे परसों का मक्खन बासी लगता है।,en,I find old butter stale.
493,मुझे रसगुल्ला नरम लगता है।,en,I find rasgulla soft.
494,मुझे कटहल सख़्त लगता है।,en,I find jackfruit hard.
495,मुझे चना मसाला मसालेदार लगता है।,en,I find chickpeas spicy.
496,मुझे पानी फीका लगता है।,en,I find water bland.
497,सोनल का चाचा,en,Sonal’s uncle
498,यशु की किताब,en,Yashu’s book
499,दीपक का मेज़,en,Deepak’s table
500,प्रशांत का लैपटॉप,en,Prashant’s laptop
501,நா உனைவிட உயரமானவன்,hi,मैं तुम से लम्बा हूँ
502,நா உனைவிட உயரமானவள்,hi,मैं तुम से लम्बी हूँ
503,அருண் பிரியாவை விட உயரமானவன்,hi,"अरुण, प्रिया से छोटा है"
504,பிரியா அருணை விடஉயரமானவள்,hi,"प्रिया, अरुण से छोटी है"
505,இது அதைவிட நீளமானது,hi,यह उससे लंबा है
506,அது இதைவிட நீளமானது,hi,यह इससे लंबा है
507,அருணின் கார்,hi,अण की कार
508,பிரியாவின் கார்,hi,प्रिया की कार
509,பிரியாவின் போன்,hi,प्रिया का फोन
510,பிரியாவின் போன்கள்,hi,प्रिया के फोन
511,அருணின் புத்தகம்,hi,अण की किताब
512,அருணின் புத்தகங்கள்,hi,अण की पुस्तकें
513,அருணின் மகன்,hi,अण का बेटा
514,பிரியாவின் மகன்,hi,प्रिया का बेटा
515,அருணின் மகள்,hi,अण की बेटी
516,பிரியாவின் மகள்,hi,प्रिया की बेटी
517,பிரியாவின் மகன்கள்,hi,प्रिया के बेटे
518,பிரியாவின் மகள்கள்,hi,प्रिया की बेटियाँ
519,தயவு செய்து உதவுவீர்களா?,hi,क्या आप मेरी मदद करेंगे?
520,தயவு செய்து பங்கா ஆப் பண்ணுவீர்களா?,hi,क्या आप पंखा बंद कर देंगे?
521,இப்போது என்ன சாப்பிட விரும்புகிறீர்கள்?,hi,अब आप क्या लेना पसंद करेंगे?
522,நான் ஒரு கப் காபி சாப்பிட விரும்புகிறேன்,hi,मैं एक कप कॉफी चाहूँगी
523,வரவேற்பு,hi,स्वागत है
524,வணக்கம்,hi,नमस्ते / नमस्कार
525,வணக்கம்,hi,हेलो
526,எப்படி இருக்கிறீர்கள்?,hi,आप कैसे हैं?
527,எப்படி இருக்கிறாய்?,hi,तुम कैसे हो?
528,நான் நன்றாக இருக்கிறேன்,hi,मैं अच्छा हूँ / मैं अच्छी हूँ
529,நெடுநாளாக பார்க்கவில்லை,hi,बहुत समय से दिखे नहीं
530,உங்கள் பெயர் என்ன?,hi,आपका नाम क्या है?
531,என் பெயர் ...,hi,मेरा नाम ... है
532,நீங்கள் எங்கிருந்து வருகிறீர்கள்?,hi,आप कहाँ से हैं?
533,நான் ... இருந்து வருகிறேன்,hi,मैं ... से हूँ
534,உங்களை சந்தித்ததில் மகிழ்ச்சி,hi,आप से मिलकर खुशी हुई
535,காலை வணக்கம்,hi,शुभ प्रभात
536,மதிய வணக்கம்,hi,नमस्ते / शुभ दोपहर
537,மாலை வணக்கம்,hi,शुभ संध्या
538,இனிய இரவு,hi,शुभ रात्रि
539,விடை பெறுகிறேன்,hi,फिर मिलेंगे
540,நல்வாழ்த்துக்கள்,hi,शुभकामनाएँ
541,இனிய நாளாக அமையட்டும்,hi,आपका दिन अच्छा बीते
542,உணவை ரசித்து உண்க,hi,कृपया भोजन शुरू कीजिए
543,இனிய பயணமாக அமையட்டும்,hi,शुभ यात्रा
544,எனக்கு தெரியாது,hi,मुझे नहीं पता
545,உங்களுக்கு புரிகிறதா?,hi,क्या आप समझे?
546,நான் புரிந்து கொண்டேன்,hi,मैं समझ गया / गयी
547,எனக்கு புரியவில்லை,hi,मैं समझा / समझी नहीं
548,தயவு செய்து மெதுவாக பேசுங்கள்,hi,कृपया धीरे बोलिए
549,நீங்கள் அதை மீண்டும் சொல்ல முடியுமா?,hi,कृपया इसे दोहराएँ
550,தயவு செய்து எழுதுங்கள்,hi,कृपया लिखिए
551,நீங்கள் ஆங்கிலம் பேசுவீர்களா?,hi,क्या आप अंग्रेज़ी बोलते हैं?
552,நீங்கள் हिन्दी பேசுவீர்களா?,hi,क्या आप हिन्दी बोलते हैं?
553,"ஆம், கொஞ்சம்",hi,"हाँ, थोड़ी सी"
554,மன்னிக்கவும்,hi,माफ कीजिए
555,நன்றி,hi,धन्यवाद
556,கழிப்பறை எங்கே?,hi,टॉयलेट कहाँ है?
557,உதவி!,hi,मदद!
558,தீ!,hi,आग!
559,நிறுத்து!,hi,रुकिए!
560,காவல்துறையினரை அழைக்கவும்!,hi,पुलिस को बुलाओ!
561,பிறந்தநாள் வாழ்த்துக்கள்,hi,जन्मदिन मुबारक हो
562,புத்தாண்டு வாழ்த்துக்கள்,hi,नये साल की शुभकामनाएँ
563,ஈஸ்டர் வாழ்த்துக்கள்,hi,ईस्टर की शुभकामनाएँ
564,வாழ்த்துக்கள்!,hi,बधाई!
565,தண்ணீரை சேமிக்கவும்,hi,पानी बचाओ
566,स्वागत है,ta,வரவேற்பு
567,नमस्ते / नमस्कार,ta,வணக்கம்
568,हेलो,ta,வணக்கம்
569,आप कैसे हैं?,ta,எப்படி இருக்கிறீர்கள்?
570,तुम कैसे हो?,ta,எப்படி இருக்கிறாய்?
571,मैं अच्छा हूँ / मैं अच्छी हूँ,ta,நான் நன்றாக இருக்கிறேன்
572,बहुत समय से दिखे नहीं,ta,நெடுநாளாக பார்க்கவில்லை
573,आपका नाम क्या है?,ta,உங்கள் பெயர் என்ன?
574,मेरा नाम ... है,ta,என் பெயர் ...
575,आप कहाँ से हैं?,ta,நீங்கள் எங்கிருந்து வருகிறீர்கள்?
576,मैं ... से हूँ,ta,நான் ... இருந்து வருகிறேன்
577,आप से मिलकर खुशी हुई,ta,உங்களை சந்தித்ததில் மகிழ்ச்சி
578,शुभ प्रभात,ta,காலை வணக்கம்
579,नमस्ते / शुभ दोपहर,ta,மதிய வணக்கம்
580,शुभ संध्या,ta,மாலை வணக்கம்
581,शुभ रात्रि,ta,இனிய இரவு
582,फिर मिलेंगे,ta,விடை பெறுகிறேன்
583,शुभकामनाएँ,ta,நல்வாழ்த்துக்கள்
584,आपका दिन अच्छा बीते,ta,இனிய நாளாக அமையட்டும்
585,कृपया भोजन शुरू कीजिए,ta,உணவை ரசித்து உண்க
586,शुभ यात्रा,ta,இனிய பயணமாக அமையட்டும்
587,मुझे नहीं पता,ta,எனக்கு தெரியாது
588,क्या आप समझे?,ta,உங்களுக்கு புரிகிறதா?
589,मैं समझ गया / गयी,ta,நான் புரிந்து கொண்டேன்
590,मैं समझा / समझी नहीं,ta,எனக்கு புரியவில்லை
591,कृपया धीरे बोलिए,ta,தயவு செய்து மெதுவாக பேசுங்கள்
592,कृपया इसे दोहराएँ,ta,நீங்கள் அதை மீண்டும் சொல்ல முடியுமா?
593,कृपया लिखिए,ta,தயவு செய்து எழுதுங்கள்
594,क्या आप अंग्रेज़ी बोलते हैं?,ta,நீங்கள் ஆங்கிலம் பேசுவீர்களா?
595,क्या आप हिन्दी बोलते हैं?,ta,நீங்கள் हिन्दी பேசுவீர்களா?
596,"हाँ, थोड़ी सी",ta,"ஆம், கொஞ்சம்"
597,माफ कीजिए,ta,மன்னிக்கவும்
598,धन्यवाद,ta,நன்றி
599,टॉयलेट कहाँ है?,ta,கழிப்பறை எங்கே?
600,मदद!,ta,உதவி!
601,आग!,ta,தீ!
602,रुकिए!,ta,நிறுத்து!
603,पुलिस को बुलाओ!,ta,காவல்துறையினரை அழைக்கவும்!
604,जन्मदिन मुबारक हो,ta,பிறந்தநாள் வாழ்த்துக்கள்
605,नये साल की शुभकामनाएँ,ta,புத்தாண்டு வாழ்த்துக்கள்
606,ईस्टर की शुभकामनाएँ,ta,ஈஸ்டர் வாழ்த்துக்கள்
607,बधाई!,ta,வாழ்த்துக்கள்!
608,पानी बचाओ,ta,தண்ணீரை சேமிக்கவும்
609,मैं तुम से लम्बा हूँ,ta,நா உனைவிட உயரமானவன்
610,मैं तुम से लम्बी हूँ,ta,நா உனைவிட உயரமானவள்
611,"अरुण, प्रिया से छोटा है",ta,அருண் பிரியாவை விட உயரமானவன்
612,"प्रिया, अरुण से छोटी है",ta,பிரியா அருணை விடஉயரமானவள்
613,यह उससे लंबा है,ta,இது அதைவிட நீளமானது
614,यह इससे लंबा है,ta,அது இதைவிட நீளமானது
615,अण की कार,ta,அருணின் கார்
616,प्रिया की कार,ta,பிரியாவின் கார்
617,प्रिया का फोन,ta,பிரியாவின் போன்
618,प्रिया के फोन,ta,பிரியாவின் போன்கள்
619,अण की किताब,ta,அருணின் புத்தகம்
620,अण की पुस्तकें,ta,அருணின் புத்தகங்கள்
621,अण का बेटा,ta,அருணின் மகன்
622,प्रिया का बेटा,ta,பிரியாவின் மகன்
623,अण की बेटी,ta,அருணின் மகள்
624,प्रिया की बेटी,ta,பிரியாவின் மகள்
625,प्रिया के बेटे,ta,பிரியாவின் மகன்கள்
626,प्रिया की बेटियाँ,ta,பிரியாவின் மகள்கள்
627,क्या आप मेरी मदद करेंगे?,ta,தயவு செய்து உதவுவீர்களா?
628,क्या आप पंखा बंद कर देंगे?,ta,தயவு செய்து பங்கா ஆப் பண்ணுவீர்களா?
629,अब आप क्या लेना पसंद करेंगे?,ta,இப்போது என்ன சாப்பிட விரும்புகிறீர்கள்?
630,मैं एक कप कॉफी चाहूँगी,ta,நான் ஒரு கப் காபி சாப்பிட விரும்புகிறேன்
631,स्वागत है,ta,வரவேற்பு
632,नमस्ते / नमस्कार,ta,வணக்கம்
633,हेलो,ta,வணக்கம்
634,आप कैसे हैं?,ta,எப்படி இருக்கிறீர்கள்?
635,तुम कैसे हो?,ta,எப்படி இருக்கிறாய்?
636,मैं अच्छा हूँ / मैं अच्छी हूँ,ta,நான் நன்றாக இருக்கிறேன்
637,बहुत समय से दिखे नहीं,ta,நெடுநாளாக பார்க்கவில்லை
638,आपका नाम क्या है?,ta,உங்கள் பெயர் என்ன?
639,मेरा नाम ... है,ta,என் பெயர் ...
640,आप कहाँ से हैं?,ta,நீங்கள் எங்கிருந்து வருகிறீர்கள்?
641,मैं ... से हूँ,ta,நான் ... இருந்து வருகிறேன்
642,आप से मिलकर खुशी हुई,ta,உங்களை சந்தித்ததில் மகிழ்ச்சி
643,शुभ प्रभात,ta,காலை வணக்கம்
644,नमस्ते / शुभ दोपहर,ta,மதிய வணக்கம்
645,शुभ संध्या,ta,மாலை வணக்கம்
646,शुभ रात्रि,ta,இனிய இரவு
647,फिर मिलेंगे,ta,விடை பெறுகிறேன்
648,शुभकामनाएँ,ta,நல்வாழ்த்துக்கள்
649,आपका दिन अच्छा बीते,ta,இனிய நாளாக அமையட்டும்
650,कृपया भोजन शुरू कीजिए,ta,உணவை ரசித்து உண்க
651,शुभ यात्रा,ta,இனிய பயணமாக அமையட்டும்
652,मुझे नहीं पता,ta,எனக்கு தெரியாது
653,क्या आप समझे?,ta,உங்களுக்கு புரிகிறதா?
654,मैं समझ गया / गयी,ta,நான் புரிந்து கொண்டேன்
655,मैं समझा / समझी नहीं,ta,எனக்கு புரியவில்லை
656,कृपया धीरे बोलिए,ta,தயவு செய்து மெதுவாக பேசுங்கள்
657,कृपया इसे दोहराएँ,ta,நீங்கள் அதை மீண்டும் சொல்ல முடியுமா?
658,कृपया लिखिए,ta,தயவு செய்து எழுதுங்கள்
659,क्या आप अंग्रेज़ी बोलते हैं?,ta,நீங்கள் ஆங்கிலம் பேசுவீர்களா?
660,क्या आप हिन्दी बोलते हैं?,ta,நீங்கள் हिन्दी பேசுவீர்களா?
661,"हाँ, थोड़ी सी",ta,"ஆம், கொஞ்சம்"
662,माफ कीजिए,ta,மன்னிக்கவும்
663,धन्यवाद,ta,நன்றி
664,टॉयलेट कहाँ है?,ta,கழிப்பறை எங்கே?
665,मदद!,ta,உதவி!
666,आग!,ta,தீ!
667,रुकिए!,ta,நிறுத்து!
668,पुलिस को बुलाओ!,ta,காவல்துறையினரை அழைக்கவும்!
669,जन्मदिन मुबारक हो,ta,பிறந்தநாள் வாழ்த்துக்கள்
670,नये साल की शुभकामनाएँ,ta,புத்தாண்டு வாழ்த்துக்கள்
671,ईस्टर की शुभकामनाएँ,ta,ஈஸ்டர் வாழ்த்துக்கள்
672,बधाई!,ta,வாழ்த்துக்கள்!
673,पानी बचाओ,ta,தண்ணீரை சேமிக்கவும்
