id,input_text,target_language,human_translated_text,clean_text,detected_lang,moderation_status,emotion_label,input_token_count,human_translation_token_count
191,Heavy work at the office.,ta,வியாயக்கட்டி யிற்வற கட்டி டசய்த்து வைத்த பணம்,Heavy work at the office.,en,approved,anger,6,125
192,I don’t know how to do this.,ta,சின்ன விஷயத்தை ஊதி மபரிதாக்காதே,I dont know how to do this.,en,approved,fear,11,87
193,I am at a loss to know how to do this.,ta,வகக்கு எட்டியது காய்க்கு எட்டவில்லை,I am at a loss to know how to do this.,en,approved,anger,12,99
194,"Could you help me, if you don’t mind?",ta,அது அப்படியே இருக்கட்டும்,"Could you help me, if you dont mind?",en,approved,joy,13,71
195,Would you mind lending me a helping hand?,ta,சரி. விஷயத்துக்கு வரலாம்,Would you mind lending me a helping hand?,en,approved,joy,9,66
196,Serve food. (Don’t say: Keep the food) / (Second serving),ta,இது எல்லாவற்றிலும் நல்லது,Serve food. Dont say Keep the food Second serving,en,approved,joy,20,71
197,Tasty food. / Yummy food. / Delicious; delectable; palatable.,ta,கண் ட கண் ட மபாருள்கள்,Tasty food. Yummy food. Delicious delectable palatable.,en,approved,joy,19,58
198,I relished the food.,ta,சரி. இப்ப நாம் தொடங்கலாம்,I relished the food.,en,approved,love,6,67
199,Main course.,ta,மபரிய உபடதசம் பண் ணாதே,Main course.,fr,approved,anger,3,60
200,I am hiccupping.,ta,எனக்கு ஒரு டயாசவன தோன்றுகிறது,I am hiccupping.,en,approved,anger,7,81
201,I am starved. / I am famished.,ta,மீண் டும் மீண் டும்,I am starved. I am famished.,en,approved,fear,10,51
202,I am full. / I am not hungry. / My stomach is full.,ta,இதுதான் வாழ்க்கையில் எல்லாம் என்று எண்ணிவிடாதே,I am full. I am not hungry. My stomach is full.,en,approved,joy,16,130
203,Stomach churning. / My stomach is churning.,ta,,Stomach churning. My stomach is churning.,en,approved,fear,12,0
204,I feel full. (Due to indigestion).,ta,சரி,I feel full. Due to indigestion.,it,approved,joy,12,9
205,He is sharp and intelligent. / He is brainy.,ta,நீங்கள் தயாரா?,He is sharp and intelligent. He is brainy.,en,approved,joy,12,38
206,He is dumb. / He is stupid. / Dull-headed. / Brainless fellow.,ta,உங்கள் இஷ்டம்,He is dumb. He is stupid. Dullheaded. Brainless fellow.,en,approved,sadness,19,37
207,This place is sticky.,ta,கவனமாக இரு,This place is sticky.,en,approved,anger,5,28
208,Mop the floor.,ta,சரியான நேரத்தில் இருங்கள்,Mop the floor.,en,approved,anger,5,71
209,Remove the cobwebs.,ta,தயாராக இருங்கள்,Remove the cobwebs.,en,approved,anger,6,43
210,Dust it.,ta,ஜாக்கிரதை (நாய்கள் ஜாக்கிரதை),Dust it.,de,approved,anger,3,78
211,Usually. / Customarily.,ta,சீக்கிரம் வா,Usually. Customarily.,en,approved,joy,6,34
212,Unusually. / Contrary to the custom.,ta,முடிந்தது என்று கருதுங்கள்,Unusually. Contrary to the custom.,en,approved,anger,9,74
213,Direct. / One to one (conversation). / One on one (competition).,ta,தாமதிக்க வேண்டாம்,Direct. One to one conversation. One on one competition.,en,approved,anger,19,49
214,Try to manage somehow. / Cope with it. / Grapple with it. / Manoeuvre.,ta,பயப்பட வேண்டாம்,Try to manage somehow. Cope with it. Grapple with it. Manoeuvre.,en,approved,joy,23,43
215,You come here once in a blue moon. / You seldom come here. / You rarely come here. / You come here occasionally.,ta,முட்டாள்தனமாக இருக்க வேண்டாம்,You come here once in a blue moon. You seldom come here. You rarely come here. You come here occasionally.,en,approved,anger,27,83
216,The business is dull nowadays. / It has slackened. / It has slowed down.,ta,பணம் கடன் வாங்க வேண்டாம்,The business is dull nowadays. It has slackened. It has slowed down.,en,approved,sadness,18,66
217,We’ve got to cut down our expenses.,ta,கிரெடிட்டில் வாங்க வேண்டாம்,Weve got to cut down our expenses.,en,approved,anger,11,77
218,It is hard-earned money. / (Saving for the rainy day).,ta,கோபப்பட வேண்டாம்,It is hardearned money. Saving for the rainy day.,en,approved,sadness,16,46
219,Don’t blow it out of proportion.,ta,என்னை தவறாக நினைக்க வேண்டாம்,Dont blow it out of proportion.,en,approved,anger,10,78
220,Many a slip between the cup and the lip. (Missed opportunity).,ta,தயங்க வேண்டாம்,Many a slip between the cup and the lip. Missed opportunity.,en,approved,sadness,15,40
221,Let it be. / Leave it as it is.,ta,முட்டாள்தனமாக பேச வேண்டாம்,Let it be. Leave it as it is.,en,approved,anger,11,74
222,OK. Let’s get down to business.,ta,திரை திற,OK. Lets get down to business.,en,approved,joy,11,22
223,This is by far the best.,ta,என்னை மன்னித்துவிடு,This is by far the best.,en,approved,joy,7,55
224,Random things.,ta,ரதாதலந்து போ,Random things.,en,approved,joy,3,34
225,OK. Here we go. / Let’s start. / Let’s get started.,ta,திரும்பிச் செல்,OK. Here we go. Lets start. Lets get started.,nl,approved,joy,21,43
226,Don’t start your sermons. / Don’t sermonise.,ta,ஒழிஞ்சு போ,Dont start your sermons. Dont sermonise.,fr,approved,anger,17,28
227,I have an idea. / I’ve hit upon a new idea.,ta,நீ உன்னை நம்பு,I have an idea. Ive hit upon a new idea.,en,approved,joy,16,38
228,Time and again. / Again and again. / Repeatedly.,ta,அவர் என் சிறந்த நண்பர்,Time and again. Again and again. Repeatedly.,en,approved,anger,14,60
229,This is not the be all and end all in life.,ta,அவர் வீட்டில் இல்லை,This is not the be all and end all in life.,en,approved,anger,12,53
230,,ta,அவர் கறுப்பானவர்,,unknown,approved,unknown,0,46
231,Alright. OK,ta,உன் நாக்கை அடக்கு,Alright. OK,en,approved,joy,3,47
232,Are you ready?,ta,எப்படி இது?,Are you ready?,en,approved,joy,4,29
233,As you wish. As you like.,ta,அதைச் சொல்ல உனக்கு எவ்வளவு தைரியம்?,As you wish. As you like.,sw,approved,joy,8,95
234,Be careful.,ta,எவ்வளவு அருவருப்பானது,Be careful.,ro,approved,joy,3,61
235,Be punctual.,ta,எவ்வளவு அழகு,Be punctual.,ro,approved,joy,4,34
236,Be ready.,ta,உங்கள் வயது என்ன? எனக்கு வயது 12.,Be ready.,en,approved,joy,3,79
237,Beware of dogs.,ta,சீக்கிரம்,Beware of dogs.,en,approved,anger,5,27
238,Come back soon.,ta,எனக்கு கொஞ்சம் பணம் வேண்டும்,Come back soon.,en,approved,joy,4,78
239,Consider this as done.,ta,நான் வந்துகொண்டு இருக்கிறேன்,Consider this as done.,en,approved,joy,5,80
240,Don’t be late.,ta,உன்னை பார்த்து பெருமைப்படுகிறேன்,Dont be late.,fr,approved,anger,7,92
241,Don’t be scared.,ta,எனக்கு நேரம் இல்லை,Dont be scared.,en,approved,fear,7,50
242,Don’t be silly.,ta,எனக்கு இது எப்படி செய்ய வேண்டும் என்று தெரியாது,Dont be silly.,en,approved,anger,7,129
243,Don’t borrow money.,ta,நான் அப்படி நினைக்கவில்லை,Dont borrow money.,en,approved,anger,7,71
244,Don’t buy on credit.,ta,என்னிடம் எதுவும் இல்லை,Dont buy on credit.,en,approved,anger,8,62
245,Don’t be angry.,ta,எனக்கு காய்ச்சல் மற்றும் தொண்டை வலி உள்ளது,Dont be angry.,en,approved,anger,7,116
246,Don’t get me wrong.,ta,எனக்கு எதுவும் தெரியாது,Dont get me wrong.,nl,approved,anger,8,65
247,Don’t hesitate. Be frank.,ta,எனக்கு நேரமில்லை,Dont hesitate. Be frank.,en,approved,joy,9,46
248,Don’t talk nonsense.,ta,நான் அதைப் பற்றி சிந்திக்க வேண்டும்,Dont talk nonsense.,af,approved,anger,7,97
249,Draw the curtain.,ta,நான் உன்னை மிஸ் செய்தேன்,Draw the curtain.,en,approved,anger,4,66
250,Forgive me.,ta,நான் முடிந்தவரை முயற்சிப்பேன்,Forgive me.,da,approved,joy,4,83
251,Get lost.,ta,அப்படியா?,Get lost.,fr,approved,sadness,3,25
252,Go back.,ta,பத்து நாற்கால் மணி,Go back.,en,approved,joy,3,50
253,Go to hell.,ta,வரிசையை முந்தாதே,Go to hell.,en,approved,anger,4,46
254,Have faith in yourself.,ta,என்னை தனியாக இருக்க விடு,Have faith in yourself.,en,approved,joy,5,66
255,He is my best friend.,ta,அது இருக்கட்டும்,He is my best friend.,en,approved,anger,6,46
256,He is not home.,ta,நான் பார்க்கிறேன்,He is not home.,en,approved,anger,5,49
257,His complexion is dark.,ta,நான் சொல்வதை கேள்,His complexion is dark.,en,approved,fear,5,47
258,Hold your tongue. Mind your words.,ta,இரண்டு நாட்களாக பார்க்கவில்லை,Hold your tongue. Mind your words.,en,approved,joy,8,83
259,How come?,ta,இன்றைய நாள் மகிழ்ச்சியானதாக இருக்கட்டும்,How come?,en,approved,joy,3,114
260,How dare you say that?,ta,கடவுள் உன்னை ஆசீர்வதிப்பாராக,How dare you say that?,en,approved,anger,6,80
261,How disgusting.,ta,நான் உங்களுக்கு உதவலாமா?,How disgusting.,en,approved,anger,3,66
262,How lovely! How nice! So sweet!,ta,நீ உன் வேலையைப் பார்,How lovely! How nice! So sweet!,en,approved,love,9,54
263,How old are you? I just turned 12.,ta,தயவுசெய்து ஒதுங்குங்கள்,How old are you? I just turned 12.,en,approved,fear,10,67
264,Hurry up.,ta,அதைப் பற்றி கவலைப்படாதே,Hurry up.,en,approved,joy,4,65
265,I am in need of some money.,ta,"இல்லை, ஒன்றுமில்லை",I am in need of some money.,en,approved,anger,8,50
266,I am just coming.,ta,சிறப்பாக எதுவும் இல்லை,I am just coming.,en,approved,joy,5,62
267,I am proud of you.,ta,நிச்சயமாக,I am proud of you.,en,approved,joy,6,27
268,I don’t have time.,ta,நம்பிக்கையாக இரு,I dont have time.,sq,approved,sadness,8,46
269,I don’t know how to do this.,ta,மீண்டும் சந்திப்போம்,I dont know how to do this.,en,approved,fear,11,58
270,I don’t think so.,ta,நாம் தொடங்கலாமா?,I dont think so.,en,approved,joy,8,44
271,I don't have anything.,ta,சிரமத்திற்கு மன்னிக்கவும்,I dont have anything.,en,approved,anger,6,73
272,I have a fever and sore throat.,ta,என்ன நினைக்கிறீர்கள் அதைச் சொல்லுங்கள்,I have a fever and sore throat.,en,approved,sadness,8,108
273,I have no idea.,ta,விளக்கை அணைக்கவும்,I have no idea.,pt,approved,fear,5,52
274,I have no time.,ta,விளக்கை போடவும்,I have no time.,it,approved,anger,5,43
275,I have to think about it.,ta,பேசுவதற்கு முன் இரண்டு முறை சிந்தியுங்கள்,I have to think about it.,en,approved,joy,7,115
276,I missed you very much.,ta,இப்படி நல்லது தொடரட்டும்,I missed you very much.,en,approved,sadness,6,68
277,I will try my best.,ta,புரிந்துகொள்ள முயற்சி செய்,I will try my best.,en,approved,joy,6,74
278,Is it?,ta,அடுத்த முறை அதிர்ஷ்டத்தை முயற்சி செய்,Is it?,tl,approved,anger,3,103
279,It’s quarter past 10.,ta,உன் மூளைப் பயன்படுத்து,Its quarter past 10.,fr,approved,joy,8,62
280,Don’t jump the queue.,ta,இடத்தை காலி செய்,Dont jump the queue.,fr,approved,anger,8,44
281,Leave me alone.,ta,ஒரு நிமிடம் காத்திரு,Leave me alone.,fr,approved,sadness,4,56
282,Let it be.,ta,"கவனியுங்கள், இந்த இடம் வழுக்கும்",Let it be.,nl,approved,joy,4,88
283,Let me see.,ta,என்ன ஒரு பரிதாபம்,Let me see.,af,approved,joy,4,47
284,Listen to me.,ta,என்ன ஒரு அவமானம்,Listen to me.,nl,approved,anger,4,44
285,Long-time no see.,ta,என்ன ஒரு யோசனை,Longtime no see.,it,approved,anger,6,38
286,Many happy returns of the day!,ta,என்னால் என்ன செய்ய முடியும்,Many happy returns of the day!,en,approved,joy,7,75
287,May God bless you!,ta,நீங்கள் என்ன சொல்கிறீர்கள்?,May God bless you!,en,approved,joy,5,75
288,May I help you?,ta,என்ன முட்டாள்தனம்,May I help you?,en,approved,joy,5,49
289,Mind your own business.,ta,இன்றைய நாள் என்ன?,Mind your own business.,en,approved,joy,5,45
290,"Move aside, please.",ta,நேரம் என்ன?,"Move aside, please.",en,approved,anger,5,29
291,Never mind.,ta,யார் கவலைப்படுகிறார்கள்?,Never mind.,da,approved,joy,3,68
292,"No, Not at all.",ta,யார் அங்கே?,"No, Not at all.",en,approved,anger,6,29
293,Nothing special.,ta,இது யார்? இது நான்,Nothing special.,en,approved,joy,3,46
294,Of course.,ta,யாருக்கு தெரியும்?,Of course.,fr,approved,anger,3,50
295,Rest assured.,ta,கொஞ்சம் தேநீர் வேண்டுமா?,Rest assured.,en,approved,joy,3,66
296,See you again. See you later.,ta,நீங்கள் தவறாக நினைக்கிறீர்கள்,See you again. See you later.,id,approved,joy,8,83
297,Shall we start?,ta,நீ நகைச்சுவை செய்கிறாய்,Shall we start?,en,approved,joy,5,65
298,Sorry for the inconvenience.,ta,இந்த பொருளுக்கு அதிக தேவை உள்ளது,Sorry for the inconvenience.,en,approved,sadness,5,88
299,Speak your mind.,ta,தளபாடங்கள் இங்கே மலிவானவை,Speak your mind.,tr,approved,joy,5,71
300,Switch off the light.,ta,கண்ணாடி உடையக்கூடியது,Switch off the light.,en,approved,fear,5,61
301,Switch on the light.,ta,அவர் மிகவும் கூர்மையானவர்,Switch on the light.,en,approved,fear,5,71
302,Think twice before you speak.,ta,இந்த பெண் மிகவும் படிப்பாளி,Think twice before you speak.,en,approved,anger,6,75
303,Touch wood.,ta,இந்த தளபாடங்கள் மிகவும் உறுதியானவை,Touch wood.,en,approved,love,3,96
304,Try to understand.,ta,அவர் ஒரு கஞ்சன்,Try to understand.,en,approved,joy,4,41
305,Are those people better than these?,hi,क्या वे लोग इनसे ज़्यादा अच्छे हैं?,Are those people better than these?,en,approved,joy,7,54
306,This woman is less active than that woman.,hi,यह औरत उस औरत से कम चुस्त है।,This woman is less active than that woman.,en,approved,joy,9,44
307,Do you like Delhi?,hi,क्या आपको दिल्ली पसंद है?,Do you like Delhi?,sw,approved,joy,5,40
308,Rakesh doesn’t like this girl.,hi,राकेश को यह लड़की पसंद नहीं।,Rakesh doesnt like this girl.,en,approved,anger,11,45
309,You like to stroll in the garden.,hi,तुझे बाग में सैर करना पसंद है।,You like to stroll in the garden.,en,approved,joy,8,46
310,He/She likes our work.,hi,उसे हमारा काम अच्छा लगता है।,HeShe likes our work.,af,approved,love,7,41
311,This girl doesn’t like Rakesh.,hi,इस लड़की को राकेश अच्छा नहीं लगता।,This girl doesnt like Rakesh.,af,approved,anger,11,53
312,Do you like to drive?,hi,तुम्हें गाड़ी चलाना अच्छा लगता है?,Do you like to drive?,sl,approved,joy,6,52
313,I like Gaurav.,hi,मैं गौरव को चाहती हूँ।,I like Gaurav.,no,approved,joy,6,35
314,He wants to eat a samosa.,hi,वह समोसा खाना चाहता है।,He wants to eat a samosa.,en,approved,anger,8,33
315,I don’t want to go to the market.,hi,मैं बाज़ार जाना नहीं चाहती।,I dont want to go to the market.,en,approved,anger,12,41
316,I need a new car.,hi,मुझे नई गाड़ी चाहिए।,I need a new car.,en,approved,joy,6,32
317,He/She should come home.,hi,इसे घर आना चाहिए।,HeShe should come home.,en,approved,fear,7,26
318,They should not work on Sunday.,hi,इन्हें रविवार को काम नहीं करना चाहिए।,They should not work on Sunday.,en,approved,anger,7,58
319,I am hungry.,hi,मुझे भूख लगी है।,I am hungry.,id,approved,anger,4,26
320,I am thirsty.,hi,मुझे प्यास लगी है।,I am thirsty.,en,approved,anger,4,29
321,I find yogurt sour.,hi,मुझे दही खट्टा लगता है।,I find yogurt sour.,en,approved,anger,5,36
322,I find bitter gourd bitter.,hi,मुझे करेला कड़वा लगता है।,I find bitter gourd bitter.,no,approved,anger,8,39
323,I find banana sweet.,hi,मुझे केला मीठा लगता है।,I find banana sweet.,en,approved,love,5,35
324,I find mango wafer sweet and sour.,hi,मुझे आम पापड़ खट्टा-मीठा लगता है।,I find mango wafer sweet and sour.,en,approved,love,9,51
325,I find puff pastry salty.,hi,मुझे समोसा नमकीन लगता है।,I find puff pastry salty.,en,approved,love,6,40
326,I find fruit fresh.,hi,मुझे फल ताज़ा लगता है।,I find fruit fresh.,en,approved,joy,5,33
327,I find old butter stale.,hi,मुझे परसों का मक्खन बासी लगता है।,I find old butter stale.,no,approved,sadness,6,51
328,I find rasgulla soft.,hi,मुझे रसगुल्ला नरम लगता है।,I find rasgulla soft.,sv,approved,love,8,42
329,I find jackfruit hard.,hi,मुझे कटहल सख़्त लगता है।,I find jackfruit hard.,sv,approved,anger,6,39
330,I find chickpeas spicy.,hi,मुझे चना मसाला मसालेदार लगता है।,I find chickpeas spicy.,en,approved,love,7,48
331,I find water bland.,hi,मुझे पानी फीका लगता है।,I find water bland.,en,approved,sadness,5,35
332,Sonal’s uncle,hi,सोनल का चाचा,Sonals uncle,ca,approved,anger,6,17
333,Yashu’s book,hi,यशु की किताब,Yashus book,so,approved,anger,7,19
334,Deepak’s table,hi,दीपक का मेज़,Deepaks table,et,approved,anger,6,19
335,Prashant’s laptop,hi,प्रशांत का लैपटॉप,Prashants laptop,ca,approved,joy,7,28
336,नमस्ते,en,Hello,नमस्ते,hi,approved,joy,12,1
337,क्या हाल है?,en,How are you?,क्या हाल है?,hi,approved,anger,17,4
338,नमस्ते,en,Hi,नमस्ते,hi,approved,joy,12,1
339,मैं अच्छा हूँ,en,I'm good,मैं अच्छा हूँ,hi,approved,joy,21,3
340,मैं ठीक हूँ,en,I'm okay,मैं ठीक हूँ,hi,approved,joy,18,3
341,मुझे अच्छा लगता है,en,I feel good,मुझे अच्छा लगता है,hi,approved,joy,28,3
342,मुझे बुरा लगता है,en,I feel bad,मुझे बुरा लगता है,hi,approved,joy,26,3
343,आप क्या?,en,What about you?,आप क्या?,mr,approved,anger,12,4
344,और आप?,en,And you?,और आप?,hi,approved,anger,9,3
345,तुम्हारा नाम क्या है?,en,What's your name?,तुम्हारा नाम क्या है?,hi,approved,anger,31,5
346,मेरा नाम ... है,en,My name is...,मेरा नाम ... है,hi,approved,joy,17,4
347,आपसे मिलकर अच्छा लगा,en,Nice to meet you,आपसे मिलकर अच्छा लगा,hi,approved,joy,32,4
348,क्या हो रहा है?,en,What's up?,क्या हो रहा है?,hi,approved,anger,21,4
349,नया क्या है?,en,What's new?,नया क्या है?,hi,approved,anger,17,4
350,बाथरूम कहाँ है?,en,Where is the bathroom?,बाथरूम कहाँ है?,hi,approved,joy,23,5
351,क्या तुम वो फिर से कह सकते हो?,en,Can you say that again?,क्या तुम वो फिर से कह सकते हो?,hi,approved,joy,44,6
352,तुम कहाँ जॉब करती हो?,en,Where do you work?,तुम कहाँ जॉब करती हो?,hi,approved,joy,32,5
353,क्या आप अंग्रेज़ी बोलते हैं?,en,Do you speak English?,क्या आप अंग्रेज़ी बोलते हैं?,hi,approved,joy,46,5
354,माफ़ कीजिए,en,Excuse me,माफ़ कीजिए,hi,approved,joy,17,3
355,मुझे माफ कर दो,en,I'm sorry,मुझे माफ कर दो,hi,approved,joy,21,3
356,धन्यवाद,en,Thank you,धन्यवाद,ne,approved,joy,13,2
357,आपका स्वागत है,en,You're welcome,आपका स्वागत है,hi,approved,joy,22,3
358,हाँ,en,Yes,हाँ,ne,approved,anger,5,1
359,नहीं,en,No,नहीं,hi,approved,joy,8,1
360,मुझे समझ नहीं आता,en,I don't understand,मुझे समझ नहीं आता,hi,approved,joy,27,4
361,वास्तव में?,en,Really?,वास्तव में?,hi,approved,anger,18,2
362,कृपया,en,Please,कृपया,hi,approved,joy,9,1
363,मुझे यह पसंद है,en,I like it,मुझे यह पसंद है,hi,approved,joy,24,3
364,मुझे यह पसंद नहीं है,en,I don't like it,मुझे यह पसंद नहीं है,hi,approved,joy,32,5
365,आप क्या काम करते हैं?,en,What's your job?,आप क्या काम करते हैं?,hi,approved,joy,31,5
366,मैं हूँ...,en,I am...,मैं हूँ...,hi,approved,anger,13,3
367,अलविदा,en,Bye,अलविदा,hi,approved,joy,11,2
368,बाद में मिलते हैं,en,See you later,बाद में मिलते हैं,hi,approved,joy,27,3
369,फिर मिलते हैं,en,Let's meet again,फिर मिलते हैं,hi,approved,joy,22,4
370,ठंडा,en,Cool,ठंडा,mr,approved,anger,7,1
371,महान,en,Great,महान,mr,approved,joy,7,1
372,अच्छा,en,Good,अच्छा,ne,approved,anger,9,1
373,खराब,en,Bad,खराब,mr,approved,joy,7,1
374,आज मौसम अच्छा है,en,The weather is nice today,आज मौसम अच्छा है,hi,approved,joy,25,5
375,आज मौसम खराब है,en,The weather is bad today,आज मौसम खराब है,hi,approved,joy,23,5
376,आपका पसंदीदा भोजन क्या है?,en,What's your favorite food?,आपका पसंदीदा भोजन क्या है?,hi,approved,joy,40,6
377,चलो खाने चलते हैं,en,Let's go eat,चलो खाने चलते हैं,hi,approved,joy,27,4
378,आप खाने के जाने के लिए करना चाहते हैं?,en,Do you want to go eat?,आप खाने के जाने के लिए करना चाहते हैं?,hi,approved,joy,55,7
379,आपका पसंदीदा संगीत क्या है?,en,What's your favorite music?,आपका पसंदीदा संगीत क्या है?,hi,approved,joy,42,6
380,मुझे पसंद है...,en,I like...,मुझे पसंद है...,hi,approved,joy,21,3
381,स्वादिष्ट,en,Delicious,स्वादिष्ट,hi,approved,joy,17,2
382,यह स्वादिष्ट है,en,It is delicious,यह स्वादिष्ट है,hi,approved,joy,25,3
383,इसका स्वाद अच्छा है,en,It tastes good,इसका स्वाद अच्छा है,hi,approved,joy,29,3
384,यह अच्छा स्वाद नहीं है,en,It does not taste good,यह अच्छा स्वाद नहीं है,hi,approved,joy,34,5
385,आपकी उम्र क्या है?,en,How old are you?,आपकी उम्र क्या है?,hi,approved,joy,28,5
386,,en,,,unknown,approved,unknown,0,0
387,आपकी उम्र/आयु क्या है?,en,What is your age?,आपकी उम्रआयु क्या है?,hi,approved,joy,35,5
388,आपकी उम्र/आयु कितनी है?,en,How old are you?,आपकी उम्रआयु कितनी है?,hi,approved,joy,38,5
389,आप कितने साल के हैं?,en,How old are you?,आप कितने साल के हैं?,hi,approved,joy,30,5
390,मेरी उम्र २१ साल है।,en,I am 21 years old.,मेरी उम्र २१ साल है।,hi,approved,joy,32,6
391,मैं २१ साल का हूँ।,en,I (male) am 21 years old.,मैं २१ साल का हूँ।,hi,approved,joy,27,9
392,मैं २१ साल की हूँ।,en,I (female) am 21 years old.,मैं २१ साल की हूँ।,hi,approved,joy,28,9
393,आपकी आयु कितनी है?,en,How old are you?,आपकी आयु कितनी है?,hi,approved,anger,29,5
394,मेरी आयु १९ वर्ष है।,en,I am 19 years old.,मेरी आयु १९ वर्ष है।,hi,approved,joy,33,6
395,मैं १९ साल का हूँ।,en,I (male) am 19 years old.,मैं १९ साल का हूँ।,hi,approved,joy,27,9
396,मैं १९ साल की हूँ।,en,I (female) am 19 years old.,मैं १९ साल की हूँ।,hi,approved,joy,28,9
397,मैं ३० साल का हूँ।,en,I (male) am 30 years old.,मैं ३० साल का हूँ।,hi,approved,joy,27,9
398,मैं ३० साल की हूँ।,en,I (female) am 30 years old.,मैं ३० साल की हूँ।,hi,approved,joy,28,9
399,मैं विद्यालय में पढ़ता हूँ।,en,I study in school.,मैं विद्यालय में पढ़ता हूँ।,hi,approved,joy,44,5
400,वह बाग में सैर करता है।,en,He strolls in the garden.,वह बाग में सैर करता है।,hi,approved,joy,34,7
401,यह भोजनालय में खाती है।,en,She eats in the restaurant.,यह भोजनालय में खाती है।,hi,approved,joy,36,6
402,मीना और शालु बाज़ार में घूमते हैं।,en,Meena and Shalu roam in the market.,मीना और शालु बाज़ार में घूमते हैं।,hi,approved,joy,52,10
403,आप होटल में सोते हैं।,en,You sleep in a hotel.,आप होटल में सोते हैं।,hi,approved,joy,34,6
404,तुम सिनेमा घर में फ़िल्म देखते हो।,en,You watch a movie in a movie theater.,तुम सिनेमा घर में फ़िल्म देखते हो।,hi,approved,joy,55,9
405,ये मंदिर में पूजा करते हैं।,en,They worship in the temple.,ये मंदिर में पूजा करते हैं।,hi,approved,joy,43,6
406,मैं घर में रहती हूँ।,en,I live in a house.,मैं घर में रहती हूँ।,hi,approved,joy,32,6
407,मैं विद्यालय में पढ़ता हूँ।,en,I study in school.,मैं विद्यालय में पढ़ता हूँ।,hi,approved,joy,44,5
408,वह बाग में सैर करता है।,en,He strolls in the garden.,वह बाग में सैर करता है।,hi,approved,joy,34,7
409,यह भोजनालय में खाती है।,en,She eats in the restaurant.,यह भोजनालय में खाती है।,hi,approved,joy,36,6
410,मीना और शालु बाज़ार में घूमते हैं।,en,Meena and Shalu roam in the market.,मीना और शालु बाज़ार में घूमते हैं।,hi,approved,joy,52,10
411,आप होटल में सोते हैं।,en,You sleep in a hotel.,आप होटल में सोते हैं।,hi,approved,joy,34,6
412,तुम सिनेमा घर में फ़िल्म देखते हो।,en,You watch a movie in a movie theater.,तुम सिनेमा घर में फ़िल्म देखते हो।,hi,approved,joy,55,9
413,ये मंदिर में पूजा करते हैं।,en,They worship in the temple.,ये मंदिर में पूजा करते हैं।,hi,approved,joy,43,6
414,मैं घर में रहती हूँ।,en,I live in a house.,मैं घर में रहती हूँ।,hi,approved,joy,32,6
415,वे समुद्र तट पर घूमते हैं।,en,They roam at the beach.,वे समुद्र तट पर घूमते हैं।,hi,approved,joy,42,6
416,मैं रेलवे स्टेशन पर हूँ।,en,I am at the railway station.,मैं रेलवे स्टेशन पर हूँ।,hi,approved,joy,40,7
417,वह बस स्टैंड पर इंतज़ार करता है।,en,He waits at the bus stop.,वह बस स्टैंड पर इंतज़ार करता है।,hi,approved,joy,50,7
418,मैं घर पर हूँ।,en,I am at home.,मैं घर पर हूँ।,hi,approved,joy,22,5
419,मैं समय पर दफ़्तर जाता हूँ।,en,I go to the office on time.,मैं समय पर दफ़्तर जाता हूँ।,hi,approved,joy,42,8
420,मैं काम पर जाता हूँ।,en,I go to work.,मैं काम पर जाता हूँ।,hi,approved,joy,29,5
421,आप कहाँ से हैं?,en,Where are you from?,आप कहाँ से हैं?,hi,approved,anger,22,5
422,मैं अमरीका से हूँ।,en,I am from America.,मैं अमरीका से हूँ।,hi,approved,joy,29,5
423,वह स्वीडन से है।,en,He/She is from Sweden.,वह स्वीडन से है।,hi,approved,joy,26,7
424,आपका दोस्त मिस्र से है।,en,Your friend is from Egypt.,आपका दोस्त मिस्र से है।,hi,approved,joy,37,6
425,मेरी नानी भारत से है।,en,My grandma is from India.,मेरी नानी भारत से है।,hi,approved,joy,32,6
426,वह दिसंबर तक दिल्ली में रहता है।,en,He stays in Delhi till December.,वह दिसंबर तक दिल्ली में रहता है।,hi,approved,joy,51,7
427,क्या आप शुक्रवार तक काम करते हैं?,en,Do you work till Friday?,क्या आप शुक्रवार तक काम करते हैं?,hi,approved,joy,50,6
428,यह रास्ता कहाँ तक जाता है?,en,How far does this route go?,यह रास्ता कहाँ तक जाता है?,hi,approved,anger,36,7
429,यह रास्ता संग्रहालय तक जाता है।,en,This route goes till the museum.,यह रास्ता संग्रहालय तक जाता है।,hi,approved,joy,47,7
430,वह सुबह तक सोता है।,en,He sleeps until the morning.,वह सुबह तक सोता है।,hi,approved,joy,29,6
431,शाम तक हम घर नहीं आते।,en,We don’t come home till the evening.,शाम तक हम घर नहीं आते।,hi,approved,joy,33,11
432,वे आधी रात तक फ़िल्म देखते हैं।,en,They watch films until midnight.,वे आधी रात तक फ़िल्म देखते हैं।,hi,approved,joy,49,6
433,अमित का भाई,en,Amit’s brother,अमित का भाई,ne,approved,joy,16,6
434,वसुधा की बहन,en,Vasudha’s sister,वसुधा की बहन,hi,approved,joy,19,8
435,आपकी किताब किस रंग की है?,en,What color is your book?,आपकी किताब किस रंग की है?,hi,approved,anger,38,6
436,मेरी किताब नीली है।,en,My book is blue.,मेरी किताब नीली है।,hi,approved,joy,31,5
437,मीरा का घर किस रंग का है?,en,What color is Mira’s house?,मीरा का घर किस रंग का है?,hi,approved,joy,34,10
