id,input_text,target_language,human_translated_text,clean_text,detected_lang,moderation_status
214,Try to manage somehow. / Cope with it. / Grapple with it. / Manoeuvre.,ta,பயப்பட வேண்டாம்,Try to manage somehow. Cope with it. Grapple with it. Manoeuvre.,en,approved
215,You come here once in a blue moon. / You seldom come here. / You rarely come here. / You come here occasionally.,ta,முட்டாள்தனமாக இருக்க வேண்டாம்,You come here once in a blue moon. You seldom come here. You rarely come here. You come here occasionally.,en,approved
216,The business is dull nowadays. / It has slackened. / It has slowed down.,ta,பணம் கடன் வாங்க வேண்டாம்,The business is dull nowadays. It has slackened. It has slowed down.,en,approved
217,We’ve got to cut down our expenses.,ta,கிரெடிட்டில் வாங்க வேண்டாம்,Weve got to cut down our expenses.,en,approved
218,It is hard-earned money. / (Saving for the rainy day).,ta,கோபப்பட வேண்டாம்,It is hardearned money. Saving for the rainy day.,en,approved
219,Don’t blow it out of proportion.,ta,என்னை தவறாக நினைக்க வேண்டாம்,Dont blow it out of proportion.,en,approved
220,Many a slip between the cup and the lip. (Missed opportunity).,ta,தயங்க வேண்டாம்,Many a slip between the cup and the lip. Missed opportunity.,en,approved
221,Let it be. / Leave it as it is.,ta,முட்டாள்தனமாக பேச வேண்டாம்,Let it be. Leave it as it is.,en,approved
222,OK. Let’s get down to business.,ta,திரை திற,OK. Lets get down to business.,en,approved
223,This is by far the best.,ta,என்னை மன்னித்துவிடு,This is by far the best.,en,approved
224,Random things.,ta,ரதாதலந்து போ,Random things.,en,approved
225,OK. Here we go. / Let’s start. / Let’s get started.,ta,திரும்பிச் செல்,OK. Here we go. Lets start. Lets get started.,nl,approved
226,Don’t start your sermons. / Don’t sermonise.,ta,ஒழிஞ்சு போ,Dont start your sermons. Dont sermonise.,fr,approved
227,I have an idea. / I’ve hit upon a new idea.,ta,நீ உன்னை நம்பு,I have an idea. Ive hit upon a new idea.,en,approved
228,Time and again. / Again and again. / Repeatedly.,ta,அவர் என் சிறந்த நண்பர்,Time and again. Again and again. Repeatedly.,en,approved
229,This is not the be all and end all in life.,ta,அவர் வீட்டில் இல்லை,This is not the be all and end all in life.,en,approved
230,,ta,அவர் கறுப்பானவர்,,unknown,approved
231,Alright. OK,ta,உன் நாக்கை அடக்கு,Alright. OK,en,approved
232,Are you ready?,ta,எப்படி இது?,Are you ready?,en,approved
233,As you wish. As you like.,ta,அதைச் சொல்ல உனக்கு எவ்வளவு தைரியம்?,As you wish. As you like.,sw,approved
234,Be careful.,ta,எவ்வளவு அருவருப்பானது,Be careful.,ro,approved
235,Be punctual.,ta,எவ்வளவு அழகு,Be punctual.,ro,approved
236,Be ready.,ta,உங்கள் வயது என்ன? எனக்கு வயது 12.,Be ready.,en,approved
237,Beware of dogs.,ta,சீக்கிரம்,Beware of dogs.,en,approved
238,Come back soon.,ta,எனக்கு கொஞ்சம் பணம் வேண்டும்,Come back soon.,en,approved
239,Consider this as done.,ta,நான் வந்துகொண்டு இருக்கிறேன்,Consider this as done.,en,approved
240,Don’t be late.,ta,உன்னை பார்த்து பெருமைப்படுகிறேன்,Dont be late.,fr,approved
241,Don’t be scared.,ta,எனக்கு நேரம் இல்லை,Dont be scared.,en,approved
242,Don’t be silly.,ta,எனக்கு இது எப்படி செய்ய வேண்டும் என்று தெரியாது,Dont be silly.,en,approved
243,Don’t borrow money.,ta,நான் அப்படி நினைக்கவில்லை,Dont borrow money.,en,approved
244,Don’t buy on credit.,ta,என்னிடம் எதுவும் இல்லை,Dont buy on credit.,en,approved
245,Don’t be angry.,ta,எனக்கு காய்ச்சல் மற்றும் தொண்டை வலி உள்ளது,Dont be angry.,en,approved
246,Don’t get me wrong.,ta,எனக்கு எதுவும் தெரியாது,Dont get me wrong.,nl,approved
247,Don’t hesitate. Be frank.,ta,எனக்கு நேரமில்லை,Dont hesitate. Be frank.,en,approved
248,Don’t talk nonsense.,ta,நான் அதைப் பற்றி சிந்திக்க வேண்டும்,Dont talk nonsense.,af,approved
249,Draw the curtain.,ta,நான் உன்னை மிஸ் செய்தேன்,Draw the curtain.,en,approved
250,Forgive me.,ta,நான் முடிந்தவரை முயற்சிப்பேன்,Forgive me.,da,approved
251,Get lost.,ta,அப்படியா?,Get lost.,fr,approved
252,Go back.,ta,பத்து நாற்கால் மணி,Go back.,en,approved
253,Go to hell.,ta,வரிசையை முந்தாதே,Go to hell.,en,approved
254,Have faith in yourself.,ta,என்னை தனியாக இருக்க விடு,Have faith in yourself.,en,approved
255,He is my best friend.,ta,அது இருக்கட்டும்,He is my best friend.,en,approved
256,He is not home.,ta,நான் பார்க்கிறேன்,He is not home.,en,approved
257,His complexion is dark.,ta,நான் சொல்வதை கேள்,His complexion is dark.,en,approved
258,Hold your tongue. Mind your words.,ta,இரண்டு நாட்களாக பார்க்கவில்லை,Hold your tongue. Mind your words.,en,approved
259,How come?,ta,இன்றைய நாள் மகிழ்ச்சியானதாக இருக்கட்டும்,How come?,en,approved
260,How dare you say that?,ta,கடவுள் உன்னை ஆசீர்வதிப்பாராக,How dare you say that?,en,approved
261,How disgusting.,ta,நான் உங்களுக்கு உதவலாமா?,How disgusting.,en,approved
262,How lovely! How nice! So sweet!,ta,நீ உன் வேலையைப் பார்,How lovely! How nice! So sweet!,en,approved
263,How old are you? I just turned 12.,ta,தயவுசெய்து ஒதுங்குங்கள்,How old are you? I just turned 12.,en,approved
264,Hurry up.,ta,அதைப் பற்றி கவலைப்படாதே,Hurry up.,en,approved
265,I am in need of some money.,ta,"இல்லை, ஒன்றுமில்லை",I am in need of some money.,en,approved
266,I am just coming.,ta,சிறப்பாக எதுவும் இல்லை,I am just coming.,en,approved
267,I am proud of you.,ta,நிச்சயமாக,I am proud of you.,en,approved
268,I don’t have time.,ta,நம்பிக்கையாக இரு,I dont have time.,sq,approved
269,I don’t know how to do this.,ta,மீண்டும் சந்திப்போம்,I dont know how to do this.,en,approved
270,I don’t think so.,ta,நாம் தொடங்கலாமா?,I dont think so.,en,approved
271,I don't have anything.,ta,சிரமத்திற்கு மன்னிக்கவும்,I dont have anything.,en,approved
272,I have a fever and sore throat.,ta,என்ன நினைக்கிறீர்கள் அதைச் சொல்லுங்கள்,I have a fever and sore throat.,en,approved
273,I have no idea.,ta,விளக்கை அணைக்கவும்,I have no idea.,pt,approved
274,I have no time.,ta,விளக்கை போடவும்,I have no time.,it,approved
275,I have to think about it.,ta,பேசுவதற்கு முன் இரண்டு முறை சிந்தியுங்கள்,I have to think about it.,en,approved
276,I missed you very much.,ta,இப்படி நல்லது தொடரட்டும்,I missed you very much.,en,approved
277,I will try my best.,ta,புரிந்துகொள்ள முயற்சி செய்,I will try my best.,en,approved
278,Is it?,ta,அடுத்த முறை அதிர்ஷ்டத்தை முயற்சி செய்,Is it?,tl,approved
279,It’s quarter past 10.,ta,உன் மூளைப் பயன்படுத்து,Its quarter past 10.,fr,approved
280,Don’t jump the queue.,ta,இடத்தை காலி செய்,Dont jump the queue.,fr,approved
281,Leave me alone.,ta,ஒரு நிமிடம் காத்திரு,Leave me alone.,fr,approved
282,Let it be.,ta,"கவனியுங்கள், இந்த இடம் வழுக்கும்",Let it be.,nl,approved
283,Let me see.,ta,என்ன ஒரு பரிதாபம்,Let me see.,af,approved
284,Listen to me.,ta,என்ன ஒரு அவமானம்,Listen to me.,nl,approved
285,Long-time no see.,ta,என்ன ஒரு யோசனை,Longtime no see.,it,approved
286,Many happy returns of the day!,ta,என்னால் என்ன செய்ய முடியும்,Many happy returns of the day!,en,approved
287,May God bless you!,ta,நீங்கள் என்ன சொல்கிறீர்கள்?,May God bless you!,en,approved
288,May I help you?,ta,என்ன முட்டாள்தனம்,May I help you?,en,approved
289,Mind your own business.,ta,இன்றைய நாள் என்ன?,Mind your own business.,en,approved
290,"Move aside, please.",ta,நேரம் என்ன?,"Move aside, please.",en,approved
291,Never mind.,ta,யார் கவலைப்படுகிறார்கள்?,Never mind.,da,approved
292,"No, Not at all.",ta,யார் அங்கே?,"No, Not at all.",en,approved
293,Nothing special.,ta,இது யார்? இது நான்,Nothing special.,en,approved
294,Of course.,ta,யாருக்கு தெரியும்?,Of course.,fr,approved
295,Rest assured.,ta,கொஞ்சம் தேநீர் வேண்டுமா?,Rest assured.,en,approved
296,See you again. See you later.,ta,நீங்கள் தவறாக நினைக்கிறீர்கள்,See you again. See you later.,id,approved
297,Shall we start?,ta,நீ நகைச்சுவை செய்கிறாய்,Shall we start?,en,approved
298,Sorry for the inconvenience.,ta,இந்த பொருளுக்கு அதிக தேவை உள்ளது,Sorry for the inconvenience.,en,approved
299,Speak your mind.,ta,தளபாடங்கள் இங்கே மலிவானவை,Speak your mind.,tr,approved
300,Switch off the light.,ta,கண்ணாடி உடையக்கூடியது,Switch off the light.,en,approved
301,Switch on the light.,ta,அவர் மிகவும் கூர்மையானவர்,Switch on the light.,en,approved
302,Think twice before you speak.,ta,இந்த பெண் மிகவும் படிப்பாளி,Think twice before you speak.,en,approved
303,Touch wood.,ta,இந்த தளபாடங்கள் மிகவும் உறுதியானவை,Touch wood.,en,approved
304,Try to understand.,ta,அவர் ஒரு கஞ்சன்,Try to understand.,en,approved
305,Are those people better than these?,hi,क्या वे लोग इनसे ज़्यादा अच्छे हैं?,Are those people better than these?,en,approved
306,This woman is less active than that woman.,hi,यह औरत उस औरत से कम चुस्त है।,This woman is less active than that woman.,en,approved
307,Do you like Delhi?,hi,क्या आपको दिल्ली पसंद है?,Do you like Delhi?,sw,approved
308,Rakesh doesn’t like this girl.,hi,राकेश को यह लड़की पसंद नहीं।,Rakesh doesnt like this girl.,en,approved
309,You like to stroll in the garden.,hi,तुझे बाग में सैर करना पसंद है।,You like to stroll in the garden.,en,approved
310,He/She likes our work.,hi,उसे हमारा काम अच्छा लगता है।,HeShe likes our work.,af,approved
311,This girl doesn’t like Rakesh.,hi,इस लड़की को राकेश अच्छा नहीं लगता।,This girl doesnt like Rakesh.,af,approved
312,Do you like to drive?,hi,तुम्हें गाड़ी चलाना अच्छा लगता है?,Do you like to drive?,sl,approved
313,I like Gaurav.,hi,मैं गौरव को चाहती हूँ।,I like Gaurav.,no,approved
314,He wants to eat a samosa.,hi,वह समोसा खाना चाहता है।,He wants to eat a samosa.,en,approved
315,I don’t want to go to the market.,hi,मैं बाज़ार जाना नहीं चाहती।,I dont want to go to the market.,en,approved
316,I need a new car.,hi,मुझे नई गाड़ी चाहिए।,I need a new car.,en,approved
317,He/She should come home.,hi,इसे घर आना चाहिए।,HeShe should come home.,en,approved
318,They should not work on Sunday.,hi,इन्हें रविवार को काम नहीं करना चाहिए।,They should not work on Sunday.,en,approved
319,I am hungry.,hi,मुझे भूख लगी है।,I am hungry.,id,approved
320,I am thirsty.,hi,मुझे प्यास लगी है।,I am thirsty.,en,approved
321,I find yogurt sour.,hi,मुझे दही खट्टा लगता है।,I find yogurt sour.,en,approved
322,I find bitter gourd bitter.,hi,मुझे करेला कड़वा लगता है।,I find bitter gourd bitter.,no,approved
323,I find banana sweet.,hi,मुझे केला मीठा लगता है।,I find banana sweet.,en,approved
324,I find mango wafer sweet and sour.,hi,मुझे आम पापड़ खट्टा-मीठा लगता है।,I find mango wafer sweet and sour.,en,approved
325,I find puff pastry salty.,hi,मुझे समोसा नमकीन लगता है।,I find puff pastry salty.,en,approved
326,I find fruit fresh.,hi,मुझे फल ताज़ा लगता है।,I find fruit fresh.,en,approved
327,I find old butter stale.,hi,मुझे परसों का मक्खन बासी लगता है।,I find old butter stale.,no,approved
328,I find rasgulla soft.,hi,मुझे रसगुल्ला नरम लगता है।,I find rasgulla soft.,sv,approved
329,I find jackfruit hard.,hi,मुझे कटहल सख़्त लगता है।,I find jackfruit hard.,sv,approved
330,I find chickpeas spicy.,hi,मुझे चना मसाला मसालेदार लगता है।,I find chickpeas spicy.,en,approved
331,I find water bland.,hi,मुझे पानी फीका लगता है।,I find water bland.,en,approved
332,Sonal’s uncle,hi,सोनल का चाचा,Sonals uncle,ca,approved
333,Yashu’s book,hi,यशु की किताब,Yashus book,so,approved
334,Deepak’s table,hi,दीपक का मेज़,Deepaks table,et,approved
335,Prashant’s laptop,hi,प्रशांत का लैपटॉप,Prashants laptop,ca,approved
336,नमस्ते,en,Hello,नमस्ते,hi,approved
337,क्या हाल है?,en,How are you?,क्या हाल है?,hi,approved
338,नमस्ते,en,Hi,नमस्ते,hi,approved
339,मैं अच्छा हूँ,en,I'm good,मैं अच्छा हूँ,hi,approved
340,मैं ठीक हूँ,en,I'm okay,मैं ठीक हूँ,hi,approved
341,मुझे अच्छा लगता है,en,I feel good,मुझे अच्छा लगता है,hi,approved
342,मुझे बुरा लगता है,en,I feel bad,मुझे बुरा लगता है,hi,approved
343,आप क्या?,en,What about you?,आप क्या?,mr,approved
344,और आप?,en,And you?,और आप?,hi,approved
345,तुम्हारा नाम क्या है?,en,What's your name?,तुम्हारा नाम क्या है?,hi,approved
346,मेरा नाम ... है,en,My name is...,मेरा नाम ... है,hi,approved
347,आपसे मिलकर अच्छा लगा,en,Nice to meet you,आपसे मिलकर अच्छा लगा,hi,approved
348,क्या हो रहा है?,en,What's up?,क्या हो रहा है?,hi,approved
349,नया क्या है?,en,What's new?,नया क्या है?,hi,approved
350,बाथरूम कहाँ है?,en,Where is the bathroom?,बाथरूम कहाँ है?,hi,approved
351,क्या तुम वो फिर से कह सकते हो?,en,Can you say that again?,क्या तुम वो फिर से कह सकते हो?,hi,approved
352,तुम कहाँ जॉब करती हो?,en,Where do you work?,तुम कहाँ जॉब करती हो?,hi,approved
353,क्या आप अंग्रेज़ी बोलते हैं?,en,Do you speak English?,क्या आप अंग्रेज़ी बोलते हैं?,hi,approved
354,माफ़ कीजिए,en,Excuse me,माफ़ कीजिए,hi,approved
355,मुझे माफ कर दो,en,I'm sorry,मुझे माफ कर दो,hi,approved
356,धन्यवाद,en,Thank you,धन्यवाद,ne,approved
357,आपका स्वागत है,en,You're welcome,आपका स्वागत है,hi,approved
358,हाँ,en,Yes,हाँ,ne,approved
359,नहीं,en,No,नहीं,hi,approved
360,मुझे समझ नहीं आता,en,I don't understand,मुझे समझ नहीं आता,hi,approved
361,वास्तव में?,en,Really?,वास्तव में?,hi,approved
362,कृपया,en,Please,कृपया,hi,approved
363,मुझे यह पसंद है,en,I like it,मुझे यह पसंद है,hi,approved
364,मुझे यह पसंद नहीं है,en,I don't like it,मुझे यह पसंद नहीं है,hi,approved
365,आप क्या काम करते हैं?,en,What's your job?,आप क्या काम करते हैं?,hi,approved
366,मैं हूँ...,en,I am...,मैं हूँ...,hi,approved
367,अलविदा,en,Bye,अलविदा,hi,approved
368,बाद में मिलते हैं,en,See you later,बाद में मिलते हैं,hi,approved
369,फिर मिलते हैं,en,Let's meet again,फिर मिलते हैं,hi,approved
370,ठंडा,en,Cool,ठंडा,mr,approved
371,महान,en,Great,महान,mr,approved
372,अच्छा,en,Good,अच्छा,ne,approved
373,खराब,en,Bad,खराब,mr,approved
374,आज मौसम अच्छा है,en,The weather is nice today,आज मौसम अच्छा है,hi,approved
375,आज मौसम खराब है,en,The weather is bad today,आज मौसम खराब है,hi,approved
376,आपका पसंदीदा भोजन क्या है?,en,What's your favorite food?,आपका पसंदीदा भोजन क्या है?,hi,approved
377,चलो खाने चलते हैं,en,Let's go eat,चलो खाने चलते हैं,hi,approved
378,आप खाने के जाने के लिए करना चाहते हैं?,en,Do you want to go eat?,आप खाने के जाने के लिए करना चाहते हैं?,hi,approved
379,आपका पसंदीदा संगीत क्या है?,en,What's your favorite music?,आपका पसंदीदा संगीत क्या है?,hi,approved
380,मुझे पसंद है...,en,I like...,मुझे पसंद है...,hi,approved
381,स्वादिष्ट,en,Delicious,स्वादिष्ट,hi,approved
382,यह स्वादिष्ट है,en,It is delicious,यह स्वादिष्ट है,hi,approved
383,इसका स्वाद अच्छा है,en,It tastes good,इसका स्वाद अच्छा है,hi,approved
384,यह अच्छा स्वाद नहीं है,en,It does not taste good,यह अच्छा स्वाद नहीं है,hi,approved
385,आपकी उम्र क्या है?,en,How old are you?,आपकी उम्र क्या है?,hi,approved
386,,en,,,unknown,approved
387,आपकी उम्र/आयु क्या है?,en,What is your age?,आपकी उम्रआयु क्या है?,hi,approved
388,आपकी उम्र/आयु कितनी है?,en,How old are you?,आपकी उम्रआयु कितनी है?,hi,approved
389,आप कितने साल के हैं?,en,How old are you?,आप कितने साल के हैं?,hi,approved
390,मेरी उम्र २१ साल है।,en,I am 21 years old.,मेरी उम्र २१ साल है।,hi,approved
391,मैं २१ साल का हूँ।,en,I (male) am 21 years old.,मैं २१ साल का हूँ।,hi,approved
392,मैं २१ साल की हूँ।,en,I (female) am 21 years old.,मैं २१ साल की हूँ।,hi,approved
393,आपकी आयु कितनी है?,en,How old are you?,आपकी आयु कितनी है?,hi,approved
394,मेरी आयु १९ वर्ष है।,en,I am 19 years old.,मेरी आयु १९ वर्ष है।,hi,approved
395,मैं १९ साल का हूँ।,en,I (male) am 19 years old.,मैं १९ साल का हूँ।,hi,approved
396,मैं १९ साल की हूँ।,en,I (female) am 19 years old.,मैं १९ साल की हूँ।,hi,approved
397,मैं ३० साल का हूँ।,en,I (male) am 30 years old.,मैं ३० साल का हूँ।,hi,approved
398,मैं ३० साल की हूँ।,en,I (female) am 30 years old.,मैं ३० साल की हूँ।,hi,approved
399,मैं विद्यालय में पढ़ता हूँ।,en,I study in school.,मैं विद्यालय में पढ़ता हूँ।,hi,approved
400,वह बाग में सैर करता है।,en,He strolls in the garden.,वह बाग में सैर करता है।,hi,approved
401,यह भोजनालय में खाती है।,en,She eats in the restaurant.,यह भोजनालय में खाती है।,hi,approved
402,मीना और शालु बाज़ार में घूमते हैं।,en,Meena and Shalu roam in the market.,मीना और शालु बाज़ार में घूमते हैं।,hi,approved
403,आप होटल में सोते हैं।,en,You sleep in a hotel.,आप होटल में सोते हैं।,hi,approved
404,तुम सिनेमा घर में फ़िल्म देखते हो।,en,You watch a movie in a movie theater.,तुम सिनेमा घर में फ़िल्म देखते हो।,hi,approved
405,ये मंदिर में पूजा करते हैं।,en,They worship in the temple.,ये मंदिर में पूजा करते हैं।,hi,approved
406,मैं घर में रहती हूँ।,en,I live in a house.,मैं घर में रहती हूँ।,hi,approved
407,मैं विद्यालय में पढ़ता हूँ।,en,I study in school.,मैं विद्यालय में पढ़ता हूँ।,hi,approved
408,वह बाग में सैर करता है।,en,He strolls in the garden.,वह बाग में सैर करता है।,hi,approved
409,यह भोजनालय में खाती है।,en,She eats in the restaurant.,यह भोजनालय में खाती है।,hi,approved
410,मीना और शालु बाज़ार में घूमते हैं।,en,Meena and Shalu roam in the market.,मीना और शालु बाज़ार में घूमते हैं।,hi,approved
411,आप होटल में सोते हैं।,en,You sleep in a hotel.,आप होटल में सोते हैं।,hi,approved
412,तुम सिनेमा घर में फ़िल्म देखते हो।,en,You watch a movie in a movie theater.,तुम सिनेमा घर में फ़िल्म देखते हो।,hi,approved
413,ये मंदिर में पूजा करते हैं।,en,They worship in the temple.,ये मंदिर में पूजा करते हैं।,hi,approved
414,मैं घर में रहती हूँ।,en,I live in a house.,मैं घर में रहती हूँ।,hi,approved
415,वे समुद्र तट पर घूमते हैं।,en,They roam at the beach.,वे समुद्र तट पर घूमते हैं।,hi,approved
416,मैं रेलवे स्टेशन पर हूँ।,en,I am at the railway station.,मैं रेलवे स्टेशन पर हूँ।,hi,approved
417,वह बस स्टैंड पर इंतज़ार करता है।,en,He waits at the bus stop.,वह बस स्टैंड पर इंतज़ार करता है।,hi,approved
418,मैं घर पर हूँ।,en,I am at home.,मैं घर पर हूँ।,hi,approved
419,मैं समय पर दफ़्तर जाता हूँ।,en,I go to the office on time.,मैं समय पर दफ़्तर जाता हूँ।,hi,approved
420,मैं काम पर जाता हूँ।,en,I go to work.,मैं काम पर जाता हूँ।,hi,approved
421,आप कहाँ से हैं?,en,Where are you from?,आप कहाँ से हैं?,hi,approved
422,मैं अमरीका से हूँ।,en,I am from America.,मैं अमरीका से हूँ।,hi,approved
423,वह स्वीडन से है।,en,He/She is from Sweden.,वह स्वीडन से है।,hi,approved
424,आपका दोस्त मिस्र से है।,en,Your friend is from Egypt.,आपका दोस्त मिस्र से है।,hi,approved
425,मेरी नानी भारत से है।,en,My grandma is from India.,मेरी नानी भारत से है।,hi,approved
426,वह दिसंबर तक दिल्ली में रहता है।,en,He stays in Delhi till December.,वह दिसंबर तक दिल्ली में रहता है।,hi,approved
427,क्या आप शुक्रवार तक काम करते हैं?,en,Do you work till Friday?,क्या आप शुक्रवार तक काम करते हैं?,hi,approved
428,यह रास्ता कहाँ तक जाता है?,en,How far does this route go?,यह रास्ता कहाँ तक जाता है?,hi,approved
429,यह रास्ता संग्रहालय तक जाता है।,en,This route goes till the museum.,यह रास्ता संग्रहालय तक जाता है।,hi,approved
430,वह सुबह तक सोता है।,en,He sleeps until the morning.,वह सुबह तक सोता है।,hi,approved
431,शाम तक हम घर नहीं आते।,en,We don’t come home till the evening.,शाम तक हम घर नहीं आते।,hi,approved
432,वे आधी रात तक फ़िल्म देखते हैं।,en,They watch films until midnight.,वे आधी रात तक फ़िल्म देखते हैं।,hi,approved
433,अमित का भाई,en,Amit’s brother,अमित का भाई,ne,approved
434,वसुधा की बहन,en,Vasudha’s sister,वसुधा की बहन,hi,approved
435,आपकी किताब किस रंग की है?,en,What color is your book?,आपकी किताब किस रंग की है?,hi,approved
436,मेरी किताब नीली है।,en,My book is blue.,मेरी किताब नीली है।,hi,approved
437,मीरा का घर किस रंग का है?,en,What color is Mira’s house?,मीरा का घर किस रंग का है?,hi,approved
438,मीरा का घर पीला है।,en,Mira’s house is yellow.,मीरा का घर पीला है।,hi,approved
439,घास किस रंग की होती है?,en,What color is grass?,घास किस रंग की होती है?,hi,approved
440,घास हरी होती है।,en,Grass is green.,घास हरी होती है।,hi,approved
441,वह भूरा सोफ़ा किसका है?,en,Whose brown sofa is that?,वह भूरा सोफ़ा किसका है?,hi,approved
442,वह भूरा सोफ़ा मेरा है।,en,That brown sofa is mine.,वह भूरा सोफ़ा मेरा है।,hi,approved
443,वे रंग-बिरंगे फूल किसके हैं?,en,Whose colorful flowers are those?,वे रंगबिरंगे फूल किसके हैं?,hi,approved
444,वे रंग-बिरंगे फूल कुलदीप के हैं।,en,Those colorful flowers are Kuldeep’s.,वे रंगबिरंगे फूल कुलदीप के हैं।,hi,approved
445,ये सफ़ेद किताबें किसकी हैं?,en,Whose white books are these?,ये सफ़ेद किताबें किसकी हैं?,hi,approved
446,ये सफ़ेद किताबें रवीना की हैं।,en,These white books are Raveena’s.,ये सफ़ेद किताबें रवीना की हैं।,hi,approved
447,कुंग फू पांडा मोटा और बड़ा है।,en,Kung Fu Panda is fat and big.,कुंग फू पांडा मोटा और बड़ा है।,hi,approved
448,आपकी कुर्सी छोटी है।,en,Your chair is small.,आपकी कुर्सी छोटी है।,hi,approved
449,यह रास्ता सीधा सिनेमा घर जाता है।,en,This way goes straight to the movie theater.,यह रास्ता सीधा सिनेमा घर जाता है।,hi,approved
450,"उसका कमरा साफ़ है, पर रीना का कमरा गंदा है।",en,"His room is clean, but Reena’s is dirty.","उसका कमरा साफ़ है, पर रीना का कमरा गंदा है।",hi,approved
451,"वह आदमी मूर्ख नहीं, चालाक है।",en,"That man is not stupid, he is clever.","वह आदमी मूर्ख नहीं, चालाक है।",hi,approved
452,क्या यह चीज़ असली है या नकली?,en,Is this thing real or fake?,क्या यह चीज़ असली है या नकली?,hi,approved
453,मद्रास में आज मौसम कैसा है?,en,How is the weather in Madras today?,मद्रास में आज मौसम कैसा है?,hi,approved
454,गर्म है।,en,It is hot.,गर्म है।,hi,approved
455,आपकी माताजी कैसी हैं?,en,How is your mother?,आपकी माताजी कैसी हैं?,hi,approved
456,वे ठीक हैं।,en,She is fine.,वे ठीक हैं।,hi,approved
457,आप कैसे हैं?,en,How are you?,आप कैसे हैं?,hi,approved
458,मैं अच्छा हूँ।,en,I am well.,मैं अच्छा हूँ।,hi,approved
459,सुनील रमन से चालाक है।,en,Sunil is cleverer than Raman.,सुनील रमन से चालाक है।,hi,approved
460,सुनील रमन से ज़्यादा ईमानदार है।,en,Sunil is more honest than Raman.,सुनील रमन से ज़्यादा ईमानदार है।,hi,approved
461,वह आम आदमी से कम ताकतवर है।,en,He is less powerful than an ordinary man.,वह आम आदमी से कम ताकतवर है।,hi,approved
462,राम श्याम से थोड़ा पतला है।,en,Ram is a little slimmer than Shyam.,राम श्याम से थोड़ा पतला है।,hi,approved
463,क्या वह सबसे तेज़ है?,en,Is he the fastest?,क्या वह सबसे तेज़ है?,hi,approved
464,मेरा कमरा सबसे साफ़ है।,en,My room is the cleanest.,मेरा कमरा सबसे साफ़ है।,hi,approved
465,यह बेहतर है।,en,This is better.,यह बेहतर है।,hi,approved
466,उनका घर काफ़ी अच्छा है।,en,Their house is quite nice.,उनका घर काफ़ी अच्छा है।,hi,approved
467,वह मुझसे लंबा है।,en,He is taller than me.,वह मुझसे लंबा है।,hi,approved
468,तुम उससे ज़्यादा ईमानदार हो।,en,You are more honest than him.,तुम उससे ज़्यादा ईमानदार हो।,hi,approved
469,फूल इस फूलदान में डालते हैं।,en,Flowers are put in this vase.,फूल इस फूलदान में डालते हैं।,hi,approved
470,क्या वे लोग इनसे ज़्यादा अच्छे हैं?,en,Are those people better than these?,क्या वे लोग इनसे ज़्यादा अच्छे हैं?,hi,approved
471,यह औरत उस औरत से कम चुस्त है।,en,This woman is less active than that woman.,यह औरत उस औरत से कम चुस्त है।,hi,approved
472,क्या आपको दिल्ली पसंद है?,en,Do you like Delhi?,क्या आपको दिल्ली पसंद है?,hi,approved
473,राकेश को यह लड़की पसंद नहीं।,en,Rakesh doesn’t like this girl.,राकेश को यह लड़की पसंद नहीं।,hi,approved
474,तुझे बाग में सैर करना पसंद है।,en,You like to stroll in the garden.,तुझे बाग में सैर करना पसंद है।,hi,approved
475,उसे हमारा काम अच्छा लगता है।,en,He/She likes our work.,उसे हमारा काम अच्छा लगता है।,hi,approved
476,इस लड़की को राकेश अच्छा नहीं लगता।,en,This girl doesn’t like Rakesh.,इस लड़की को राकेश अच्छा नहीं लगता।,hi,approved
477,तुम्हें गाड़ी चलाना अच्छा लगता है?,en,Do you like to drive?,तुम्हें गाड़ी चलाना अच्छा लगता है?,hi,approved
478,मैं गौरव को चाहती हूँ।,en,I like Gaurav.,मैं गौरव को चाहती हूँ।,hi,approved
479,वह समोसा खाना चाहता है।,en,He wants to eat a samosa.,वह समोसा खाना चाहता है।,hi,approved
480,मैं बाज़ार जाना नहीं चाहती।,en,I don’t want to go to the market.,मैं बाज़ार जाना नहीं चाहती।,hi,approved
481,मुझे नई गाड़ी चाहिए।,en,I need a new car.,मुझे नई गाड़ी चाहिए।,hi,approved
482,इसे घर आना चाहिए।,en,He/She should come home.,इसे घर आना चाहिए।,hi,approved
483,इन्हें रविवार को काम नहीं करना चाहिए।,en,They should not work on Sunday.,इन्हें रविवार को काम नहीं करना चाहिए।,hi,approved
484,मुझे भूख लगी है।,en,I am hungry.,मुझे भूख लगी है।,hi,approved
485,मुझे प्यास लगी है।,en,I am thirsty.,मुझे प्यास लगी है।,hi,approved
486,मुझे दही खट्टा लगता है।,en,I find yogurt sour.,मुझे दही खट्टा लगता है।,hi,approved
487,मुझे करेला कड़वा लगता है।,en,I find bitter gourd bitter.,मुझे करेला कड़वा लगता है।,hi,approved
488,मुझे केला मीठा लगता है।,en,I find banana sweet.,मुझे केला मीठा लगता है।,hi,approved
489,मुझे आम पापड़ खट्टा-मीठा लगता है।,en,I find mango wafer sweet and sour.,मुझे आम पापड़ खट्टामीठा लगता है।,hi,approved
490,मुझे समोसा नमकीन लगता है।,en,I find puff pastry salty.,मुझे समोसा नमकीन लगता है।,hi,approved
